funder_uniq,funder_closest,funder_counts,funder_counts_pct,funder_imputed
governmentoftanzania,governmentofmisri,9084,15.29%,governmentoftanzania
,0,3635,6.12%,unknown
danida,dagida,3114,5.24%,danida
hesawa,esawa,2202,3.71%,others
rwssp,drwssp,1374,2.31%,rwssp
worldbank,bank,1349,2.27%,worldbank
kkkt,kmt,1287,2.17%,kkkt
worldvision,worldvisionadra,1247,2.10%,worldvision
unicef,unice,1057,1.78%,united_nations
tasaf,taasaf,877,1.48%,tasaf
districtcouncil,wbdistrictcouncil,843,1.42%,local_govt
dhv,dgv,829,1.40%,dhv
privateindividual,privateindividul,826,1.39%,privateindividual
dwsp,dasp,811,1.37%,dwsp
0,,777,1.31%,unknown
norad,morad,765,1.29%,norad
germanyrepubli,germany,610,1.03%,others
tcrs,crs,602,1.01%,tcrs
ministryofwater,ministryofhealthy,590,0.99%,others
water,eater,583,0.98%,others
dwe,de,484,0.81%,others
netherlands,netherland,470,0.79%,others
hifab,hiap,450,0.76%,others
adb,adf,448,0.75%,others
lga,ga,442,0.74%,others
amref,amrefe,425,0.72%,others
cesgmbh,asb,425,0.72%,others
finiwater,finnwater,393,0.66%,others
oxfam,oxfarm,359,0.60%,others
wateraid,water,333,0.56%,others
rcchurch,rcchurc,321,0.54%,church
isf,bsf,316,0.53%,others
rudep,redep,312,0.53%,others
mission,missio,301,0.51%,others
private,priva,295,0.50%,others
jaica,gaica,280,0.47%,others
roman,romanca,275,0.46%,others
ruralwatersupplyandsanitat,ruralwatersupplyandsanita,270,0.45%,others
adra,acra,263,0.44%,others
jica,jaica,259,0.44%,others
shipo,sido,241,0.41%,others
wsdp,asdp,234,0.39%,others
rc,c,230,0.39%,others
finw,dina,219,0.37%,others
dh,ch,213,0.36%,others
ded,de,198,0.33%,others
planint,panone,195,0.33%,others
kiliwater,kilwater,189,0.32%,others
dmdd,dmd,186,0.31%,others
go,co,181,0.30%,others
lawatefukawatersupply,lawatefukawatersuppl,180,0.30%,others
magadinimakiwaruwater,makanyasisalestate,179,0.30%,others
oxfarm,oxfam,176,0.30%,others
fw,dw,173,0.29%,others
wb,w,170,0.29%,others
kkktmakwale,kkktcanal,166,0.28%,kkkt
wvt,wvc,158,0.27%,others
oikoseafrika,africa,155,0.26%,others
nethalan,netherla,152,0.26%,others
mkingadistriccoun,mkingadistriccou,150,0.25%,others
lvia,alia,147,0.25%,others
concernworldwide,concerngovern,145,0.24%,others
unhcr,unice,137,0.23%,united_nations
no,co,134,0.23%,others
swedish,swidish,131,0.22%,others
african,africa,128,0.22%,others
anglicanchurch,dweanglicanchurch,126,0.21%,church
community,tlccommunity,126,0.21%,others
he,de,125,0.21%,others
is,bs,125,0.21%,others
ki,ai,124,0.21%,others
ir,br,123,0.21%,others
tardo,tado,123,0.21%,others
snv,dgv,122,0.21%,others
wananchi,wanan,122,0.21%,others
romancatholic,romamcatholic,121,0.20%,others
wua,sua,121,0.20%,others
unice,unicef,119,0.20%,united_nations
bsf,bs,117,0.20%,others
tassaf,taasaf,116,0.20%,others
co,c,111,0.19%,others
dfid,bfwd,110,0.19%,others
lamp,adp,110,0.19%,others
concern,cocern,108,0.18%,others
muwsa,muwasa,107,0.18%,others
villagers,villaers,106,0.18%,others
ru,eu,105,0.18%,others
villagecouncil,villegecouncil,105,0.18%,local_govt
halmashauriyawilayasikonge,halmashauriyawilaya,102,0.17%,others
finwater,finiwater,101,0.17%,others
germany,acogermany,101,0.17%,others
hsw,hw,101,0.17%,others
twe,dwe,97,0.16%,others
wateraidsema,wateaidsema,96,0.16%,others
idc,fdc,92,0.15%,others
tanza,mwanza,88,0.15%,others
missi,missio,87,0.15%,others
h,,86,0.14%,others
mdrdp,drdp,86,0.14%,others
undp,adp,86,0.14%,others
aict,act,85,0.14%,others
gtz,giz,84,0.14%,others
japan,hapa,82,0.14%,others
cmsr,cmcr,81,0.14%,others
rcch,ccp,80,0.13%,others
ndrdp,drdp,78,0.13%,others
vwc,pwc,78,0.13%,others
kuwait,kuwasa,72,0.12%,others
lwi,lwf,72,0.12%,others
caritas,caltas,70,0.12%,others
cdtf,adf,70,0.12%,others
kkktchurch,agtchurch,70,0.12%,kkkt
kaemp,kadip,69,0.12%,others
padep,adap,69,0.12%,others
conce,concen,68,0.11%,others
kibahatowncouncil,towncouncil,68,0.11%,local_govt
marafip,marafin,68,0.11%,others
cefa,cdft,67,0.11%,others
finidagermantanzaniagovt,cartastanzania,64,0.11%,others
ncaa,acra,63,0.11%,others
commu,cocu,62,0.10%,others
losaakiawatersupply,losakiawatersupply,62,0.10%,others
mkingadistriccou,mkingadistriccoun,62,0.10%,others
nationalrural,nationalruralwb,62,0.10%,others
md,d,61,0.10%,others
irishai,rished,59,0.10%,others
sabemo,sabodo,59,0.10%,others
planinternational,planinternatio,57,0.10%,others
twesa,taes,56,0.09%,others
gen,de,54,0.09%,others
idarayamaji,wirarayamaji,54,0.09%,others
kirde,kirdep,54,0.09%,others
st,gt,54,0.09%,others
tlc,lc,54,0.09%,others
grumeti,rumaki,53,0.09%,others
kilindidistrictco,mkingadistriccou,53,0.09%,others
solidarm,soliderm,53,0.09%,others
cocen,cocern,52,0.09%,others
wfp,wdp,52,0.09%,others
chinagovernment,ciprogovernment,51,0.09%,others
ta,ea,51,0.09%,others
tanapa,tanap,51,0.09%,others
dwenorad,norad,50,0.08%,norad
sema,pema,50,0.08%,others
taboramunicipalcouncil,kigomamunicipalcouncil,49,0.08%,local_govt
europeanunion,karadeango,48,0.08%,others
solidame,solidarm,48,0.08%,others
dwssp,drwssp,47,0.08%,dwsp
redcross,rocciross,47,0.08%,others
ridep,kidep,47,0.08%,others
acra,adra,46,0.08%,others
dads,dadis,46,0.08%,others
devonaidkorogwe,drvnaidara,46,0.08%,others
miziriol,mayiro,46,0.08%,others
shawasa,dawasa,45,0.08%,others
redep,redap,44,0.07%,others
abasia,abaska,43,0.07%,others
tzjapan,japan,43,0.07%,others
giz,gtz,42,0.07%,others
ms,bs,42,0.07%,others
cafod,abd,41,0.07%,others
donor,conce,41,0.07%,others
serikali,serikari,41,0.07%,others
tdft,cdft,41,0.07%,others
soda,oda,40,0.07%,others
tredep,redep,40,0.07%,others
un,in,40,0.07%,others
ka,ea,39,0.07%,others
romancathoricsame,romancathoric,39,0.07%,others
jbg,abd,38,0.06%,others
kuwasa,auwasa,38,0.06%,others
oikoseafricaeuropeanunion,europeanunion,38,0.06%,others
songeadistrictcouncil,sangeadistrictcouncil,38,0.06%,local_govt
dasip,dasiip,37,0.06%,others
fathe,fatherw,37,0.06%,others
kidp,kadp,36,0.06%,others
urt,ur,36,0.06%,others
w,,36,0.06%,others
africandevelopmentbank,africandevelopmentfoundation,35,0.06%,others
islamicfound,islamic,35,0.06%,others
mbiuwasa,mbiusa,35,0.06%,others
songeamunicipalcounci,kigomamunicipalcouncil,35,0.06%,local_govt
watuwaujerumani,wajerumani,35,0.06%,others
si,ai,34,0.06%,others
wateruseras,watersema,34,0.06%,others
aar,abd,33,0.06%,others
finnwater,finiwater,33,0.06%,others
holland,holand,33,0.06%,others
ics,icf,33,0.06%,others
ilo,filo,33,0.06%,others
dhvnorp,dhvmoro,32,0.05%,dhv
kiuma,juma,32,0.05%,others
peters,peter,32,0.05%,others
tuwasa,auwasa,32,0.05%,others
biore,dioce,31,0.05%,others
kanisakatolikilolovoni,kanisakatoliki,31,0.05%,others
thedeskandchairfoundat,deskandchairfoundation,31,0.05%,others
totallandcare,totalandcare,31,0.05%,others
cg,c,30,0.05%,others
churc,church,30,0.05%,church
cspd,wspd,30,0.05%,others
ga,ea,30,0.05%,others
happywatotofoundation,bingofoundation,30,0.05%,others
jika,jica,30,0.05%,others
kalta,kata,30,0.05%,others
petertesha,peters,30,0.05%,others
po,co,30,0.05%,others
swissif,swisstr,30,0.05%,others
cocern,cocen,29,0.05%,others
il,el,29,0.05%,others
kidep,kidp,29,0.05%,others
worldvisionadra,worldvision,29,0.05%,worldvision
acogermany,germany,28,0.05%,others
ereto,tareto,28,0.05%,others
savetherainusa,netherlands,28,0.05%,others
sida,cida,28,0.05%,others
undpilo,dedkilo,28,0.05%,others
dw,d,27,0.05%,others
halmashauri,halmashauli,27,0.05%,others
hwrc,cgrc,27,0.05%,others
ifad,bfwd,27,0.05%,others
iwash,swash,27,0.05%,others
kanisalamenonite,kanisalamitume,27,0.05%,others
lips,rips,27,0.05%,others
notknown,unknown,27,0.05%,others
partage,birage,27,0.05%,others
songas,kinga,27,0.05%,others
villagegovernment,finlandgovernment,27,0.05%,others
cdcg,cdg,26,0.04%,others
mileniamproject,kamataproject,26,0.04%,others
nethe,fathe,26,0.04%,others
planinternatio,planinternational,26,0.04%,others
quwkwin,quickwin,26,0.04%,others
wwf,awf,26,0.04%,others
adp,adap,25,0.04%,others
dadis,dadid,25,0.04%,others
hans,abs,25,0.04%,others
hewasa,hewawa,25,0.04%,others
kilwater,kiliwater,25,0.04%,others
rcchurc,rcchurch,25,0.04%,church
tacare,tacri,25,0.04%,others
village,villages,25,0.04%,others
bgm,ggm,24,0.04%,others
careinternational,lotaryinternational,24,0.04%,others
kalitasi,kalitesi,24,0.04%,others
missionaries,missionary,24,0.04%,others
rished,rashid,24,0.04%,others
tanzakesho,tanesco,24,0.04%,others
cefanjombe,cefa,23,0.04%,others
cmcr,cmsr,23,0.04%,others
ilct,elct,23,0.04%,others
sabodo,sobodo,23,0.04%,others
swislandmountmeruflowers,finlandgovernment,23,0.04%,others
wdandid,dadid,23,0.04%,others
bank,baas,22,0.04%,others
luthe,ruthe,22,0.04%,others
mwayamn,mwamama,22,0.04%,others
rcchurchcefa,rcchurchcentr,22,0.04%,church
villagecommunity,villagecommuni,22,0.04%,others
ciprogovernment,misrigovernment,21,0.04%,others
killflora,bilila,21,0.04%,others
noradgovernment,japangovernment,21,0.04%,norad
singidayetu,sindidayetu,21,0.04%,others
vifafi,vifaf,21,0.04%,others
dct,act,20,0.03%,others
islamic,islam,20,0.03%,others
msf,bsf,20,0.03%,others
noradkidep,noradrudep,20,0.03%,norad
sekeivillagecommunity,ngiresivillagecommunity,20,0.03%,others
dhvmoro,dhvnorp,19,0.03%,dhv
efg,af,19,0.03%,others
kadp,adp,19,0.03%,others
kuamu,bumabu,19,0.03%,others
magomaadp,mamad,19,0.03%,others
majimugumu,majumugumu,19,0.03%,others
makondewaterpopulation,makondakondewaterpopulation,19,0.03%,others
p,,19,0.03%,others
peacecope,pentecost,19,0.03%,others
rotaryclub,lotaryclub,19,0.03%,others
sowasa,lowasa,19,0.03%,others
waterboard,wateraid,19,0.03%,others
asb,adb,18,0.03%,others
cct,act,18,0.03%,others
dasp,dacp,18,0.03%,others
euacra,acra,18,0.03%,others
gain,ai,18,0.03%,others
ham,haam,18,0.03%,others
mbunge,mzung,18,0.03%,others
oneun,cocen,18,0.03%,others
pidp,kidp,18,0.03%,others
tanzania,tanapa,18,0.03%,others
thepeopleofjapan,peopleofjapan,18,0.03%,others
ubaloziwamarekani,dweubaloziwamarekani,18,0.03%,others
bahewasa,hewasa,17,0.03%,others
bened,bank,17,0.03%,others
drdpngo,kdrdpngo,17,0.03%,others
fatherbonifasi,waterboard,17,0.03%,others
idydc,idc,17,0.03%,others
mdc,fdc,17,0.03%,others
mkuyu,makuru,17,0.03%,others
msabi,arabi,17,0.03%,others
sdg,cdg,17,0.03%,others
sumbawangamunici,mbwanaomari,17,0.03%,others
tasafdmdd,tasad,17,0.03%,tasaf
ukiligu,kilimo,17,0.03%,others
bruder,rudep,16,0.03%,others
finlandgovernment,villagegovernment,16,0.03%,others
isfgovernment,government,16,0.03%,others
livin,lvia,16,0.03%,others
lwijiitaly,italy,16,0.03%,others
mi,ai,16,0.03%,others
msikiti,msiki,16,0.03%,others
pmo,dmo,16,0.03%,others
quickwings,quickwins,16,0.03%,others
quickwins,quickwin,16,0.03%,others
rdc,fdc,16,0.03%,others
ruthe,luthe,16,0.03%,others
rwsp,dwsp,16,0.03%,rwssp
sda,oda,16,0.03%,others
tado,iado,16,0.03%,others
tahea,tabea,16,0.03%,others
africanmuslimagency,unicefafricanmuslimagency,15,0.03%,others
africanrelie,afriicanreli,15,0.03%,others
daralber,arabi,15,0.03%,others
elct,elca,15,0.03%,others
finland,holand,15,0.03%,others
fpct,act,15,0.03%,others
resolutemining,resolute,15,0.03%,others
shule,chuo,15,0.03%,others
usembassy,usaembassy,15,0.03%,others
adpmombo,makombo,14,0.02%,others
dassip,dasiip,14,0.02%,others
imf,icf,14,0.02%,others
isftacare,msftacare,14,0.02%,others
isingiroho,mwigicho,14,0.02%,others
livingwaterinternational,careinternational,14,0.02%,others
mamad,mamaz,14,0.02%,others
olgilaivillagecommunity,oldadaivillagecommunity,14,0.02%,others
privateowned,private,14,0.02%,others
rcchurchcentr,rcchurchcefa,14,0.02%,church
romancatholicrulengediocese,romancathorickilomeni,14,0.02%,others
romanchurch,morovianchurch,14,0.02%,church
saoh,bao,14,0.02%,others
wfptntusaid,wfpusaid,14,0.02%,others
aic,ai,13,0.02%,others
baas,aar,13,0.02%,others
benguka,zinduka,13,0.02%,others
bulyahunlugoldmine,tulawakagoldmine,13,0.02%,others
franc,france,13,0.02%,others
halmashauriyamanispatabora,halmashauriyawilaya,13,0.02%,others
jeica,jaica,13,0.02%,others
lgcdg,lcdg,13,0.02%,others
maxavella,camavita,13,0.02%,others
mosque,mosqure,13,0.02%,others
msftacare,isftacare,13,0.02%,others
qwickwin,quickwin,13,0.02%,others
qwiqwi,kwikwiz,13,0.02%,others
rada,adap,13,0.02%,others
runduman,runda,13,0.02%,others
ruralwatersupplyandsanita,ruralwatersupplyandsanitat,13,0.02%,others
tassafi,tassaf,13,0.02%,others
theisla,hesswa,13,0.02%,others
undpaict,unpaict,13,0.02%,others
villagecouncilhaydomluther,villagecouncil,13,0.02%,local_govt
waterprojectmbawalachini,paffectmwanaindi,13,0.02%,others
af,adf,12,0.02%,others
ai,af,12,0.02%,others
canada,danida,12,0.02%,others
institution,insititutiona,12,0.02%,others
kinapa,kinga,12,0.02%,others
kwikwiz,kwik,12,0.02%,others
lifetime,fathe,12,0.02%,others
lowasa,sowasa,12,0.02%,others
lutheranchurch,anglicanchurch,12,0.02%,kkkt
mhan,chani,12,0.02%,others
nationalruralandhfa,nationalrural,12,0.02%,others
oxfamgb,oxfarmgb,12,0.02%,others
prf,pr,12,0.02%,others
rips,lips,12,0.02%,others
secondary,sekondari,12,0.02%,others
tridep,ridep,12,0.02%,others
wdi,pdi,12,0.02%,others
dak,dmk,11,0.02%,others
germanymisionary,germanymissionary,11,0.02%,others
governmentcommunity,governmentandcommunity,11,0.02%,others
idea,adra,11,0.02%,others
unicefcentral,unicefcsp,11,0.02%,united_nations
wfptnt,fpct,11,0.02%,others
auwasa,kuwasa,10,0.02%,others
belgiangovernment,colonialgovernment,10,0.02%,others
chamavita,camavita,10,0.02%,others
de,d,10,0.02%,others
dhvgove,dhvmoro,10,0.02%,dhv
governmenttassaf,governmentsda,10,0.02%,others
kkktdiocesyapare,kkktcanal,10,0.02%,kkkt
kmcl,cmcr,10,0.02%,others
millenium,milenia,10,0.02%,others
muslims,mkulima,10,0.02%,others
nado,iado,10,0.02%,others
sijm,iom,10,0.02%,others
snvltd,qsemltd,10,0.02%,others
suwasa,auwasa,10,0.02%,others
tag,ta,10,0.02%,others
tasafu,tasaf,10,0.02%,tasaf
actioncontrelafaim,actionaid,9,0.02%,others
aimgold,abood,9,0.02%,others
bffs,baas,9,0.02%,others
cobashec,camartec,9,0.02%,others
council,conce,9,0.02%,local_govt
deskandchairfoundation,thedeskandchairfoundat,9,0.02%,others
governmentworldbank,governmentworldvision,9,0.02%,worldbank
healt,act,9,0.02%,others
holla,holland,9,0.02%,others
hortanzia,mhoranzi,9,0.02%,others
ikelawa,esawa,9,0.02%,others
kadresngo,kdrdpngo,9,0.02%,others
kanisa,kanis,9,0.02%,others
kingupiras,kinapa,9,0.02%,others
koica,koico,9,0.02%,others
mem,mgm,9,0.02%,others
mzingaa,kinga,9,0.02%,others
pci,pdi,9,0.02%,others
peopleofjapan,peoplefromjapan,9,0.02%,others
rcmission,mission,9,0.02%,others
regionalwaterengineerarusha,livingwaterinternational,9,0.02%,others
serikaliyakijiji,selikaliyakijiji,9,0.02%,others
tassafii,tasafii,9,0.02%,tasaf
waterusergroup,wateruseras,9,0.02%,others
williamsondiamondltd,williamacleus,9,0.02%,others
womenforpartnership,womenfopartnership,9,0.02%,others
actionaid,actionina,8,0.01%,others
angrikana,african,8,0.01%,others
br,bra,8,0.01%,others
britishcolonialgovernment,colonialgovernment,8,0.01%,others
camavita,chamavita,8,0.01%,others
d,,8,0.01%,others
do,co,8,0.01%,others
duwas,auwasa,8,0.01%,others
ebaha,esawa,8,0.01%,others
france,franc,8,0.01%,others
halmashaur,halmashauri,8,0.01%,others
iec,idc,8,0.01%,others
kilomber,kilwater,8,0.01%,others
lotteryclub,lotaryclub,8,0.01%,others
mamlakayamajingara,idarayamaji,8,0.01%,others
memberofparliament,memberofperliamentahmedali,8,0.01%,others
milenia,kizenga,8,0.01%,others
moroil,maro,8,0.01%,others
morovianchurch,romanchurch,8,0.01%,church
mtuwasa,muwasa,8,0.01%,others
nk,k,8,0.01%,others
olumuro,dhvmoro,8,0.01%,others
professorbenohiouniversity,arabcommunity,8,0.01%,others
romancathorickilomeni,romancathoricsame,8,0.01%,others
sengeremadistrictcouncil,sangeadistrictcouncil,8,0.01%,local_govt
tltc,tlc,8,0.01%,others
abd,abs,7,0.01%,others
africare,africa,7,0.01%,others
baptistchurch,batistchurch,7,0.01%,church
baric,afric,7,0.01%,others
bs,abs,7,0.01%,others
ciprocaretcrs,ciprocare,7,0.01%,others
el,ea,7,0.01%,others
hapa,hpa,7,0.01%,others
jeshilawokovu,jeshilawokovucida,7,0.01%,others
kanisakatoliki,kanisalatag,7,0.01%,others
kyelacouncil,council,7,0.01%,local_govt
lawatefukawatersuppl,lawatefukawatersupply,7,0.01%,others
local,cocen,7,0.01%,others
mbozidistrictcouncil,wbdistrictcouncil,7,0.01%,local_govt
menon,eno,7,0.01%,others
mws,ms,7,0.01%,others
parastatal,parastatalan,7,0.01%,others
rwsssp,rwssp,7,0.01%,rwssp
sangeadistrictcouncil,songeadistrictcouncil,7,0.01%,local_govt
sauwasa,auwasa,7,0.01%,others
school,schoo,7,0.01%,others
summitforwater,finiwater,7,0.01%,others
unicefcsp,unicefcspd,7,0.01%,united_nations
villagegovt,village,7,0.01%,others
adf,adb,6,0.01%,others
africandevelopmentfoundation,africandevelopmentbank,6,0.01%,others
caltus,caltas,6,0.01%,others
clause,caltus,6,0.01%,others
concerngovern,concerngovernm,6,0.01%,others
dawasco,dawasa,6,0.01%,others
filo,ilo,6,0.01%,others
gaica,jaica,6,0.01%,others
gt,ga,6,0.01%,others
in,if,6,0.01%,others
islam,islamic,6,0.01%,others
jimbofund,johnfund,6,0.01%,others
kimkuma,kiuma,6,0.01%,others
mac,ma,6,0.01%,others
makonde,makonder,6,0.01%,others
mboma,miomb,6,0.01%,others
mhezadistriccounc,mkingadistriccoun,6,0.01%,local_govt
ministryofeducation,ministryofwater,6,0.01%,others
moslemfoundation,kombefoundation,6,0.01%,others
mzungupaul,mzungu,6,0.01%,others
ngos,ngo,6,0.01%,others
obc,abd,6,0.01%,others
pataji,arabi,6,0.01%,others
quick,quik,6,0.01%,others
re,de,6,0.01%,others
robertloyal,robertmosi,6,0.01%,others
rwsspwsdp,rwsssp,6,0.01%,rwssp
sanjewa,sunjana,6,0.01%,others
secondaryschoo,secondary,6,0.01%,others
semakik,semaki,6,0.01%,others
tassafdanida,tasafandlga,6,0.01%,tasaf
usa,asb,6,0.01%,others
villa,bilila,6,0.01%,others
vttp,tpp,6,0.01%,others
wateaidsema,wateraidsema,6,0.01%,others
wd,d,6,0.01%,others
wfpusaidtnt,wfpusaid,6,0.01%,others
worldvisionkkkt,worldvision,6,0.01%,kkkt
asdp,adp,5,0.01%,others
balo,ballo,5,0.01%,others
bilila,villa,5,0.01%,others
brdp,drdp,5,0.01%,others
caltas,caltus,5,0.01%,others
cbhi,cgi,5,0.01%,others
church,churc,5,0.01%,church
cpro,cipro,5,0.01%,others
dbspe,dbfpe,5,0.01%,others
ddp,adp,5,0.01%,others
dmk,dak,5,0.01%,others
domesticruraldevelopmentpro,domesticruraldevelopmentpr,5,0.01%,others
ea,el,5,0.01%,others
farmafrica,africa,5,0.01%,others
greec,area,5,0.01%,others
handenitrunkmain,handenitrunkmaini,5,0.01%,others
hesaw,hesawa,5,0.01%,hesawa
hesawz,hesaw,5,0.01%,hesawa
hospital,caritas,5,0.01%,others
ilkerivillage,ndukuvillage,5,0.01%,others
japanfood,japanaid,5,0.01%,others
jgb,adb,5,0.01%,others
kigomamunicipal,kigomamunicipalcouncil,5,0.01%,local_govt
kirdep,kidep,5,0.01%,others
krp,adp,5,0.01%,others
lionsclub,lionclu,5,0.01%,others
losakiawatersupply,losaakiawatersupply,5,0.01%,others
mdgwc,mdc,5,0.01%,others
mgm,bgm,5,0.01%,others
mpmzeru,membero,5,0.01%,others
nsc,aic,5,0.01%,others
ola,oda,5,0.01%,others
priva,private,5,0.01%,others
regwacompanyofegypt,regwacompanyofegpty,5,0.01%,others
safariroya,safaricamp,5,0.01%,others
stph,saoh,5,0.01%,others
tabraki,arabi,5,0.01%,others
tanap,tanapa,5,0.01%,others
tcrscare,africare,5,0.01%,tcrs
tcrstlc,tcrst,5,0.01%,tcrs
trachoma,taboma,5,0.01%,others
tulawakagoldmine,bulyahunlugoldmine,5,0.01%,others
tumainifund,jimbofund,5,0.01%,others
uhaiwamamanamtoto,harunampog,5,0.01%,others
usaidwfp,usaid,5,0.01%,others
walokole,malola,5,0.01%,others
wanan,japan,5,0.01%,others
wcs,ics,5,0.01%,others
wrssp,rssp,5,0.01%,others
adap,adp,4,0.01%,others
bridgenorth,bruder,4,0.01%,others
cartastanzania,caltastanzania,4,0.01%,others
cast,act,4,0.01%,others
cdg,cdcg,4,0.01%,others
christianoutrich,christanoutrich,4,0.01%,others
concen,cocen,4,0.01%,others
cpps,ccps,4,0.01%,others
dioceseofgeita,oikoseafrika,4,0.01%,others
dwebambooprojec,kamataproject,4,0.01%,others
freepentecostechurchoftanz,pentecostachurch,4,0.01%,church
geochaina,chacha,4,0.01%,others
hiap,adap,4,0.01%,others
institutional,insititutiona,4,0.01%,others
kashwas,hasawa,4,0.01%,others
kijiji,kijij,4,0.01%,others
konoike,conce,4,0.01%,others
lcgd,ldcgd,4,0.01%,others
lench,bened,4,0.01%,others
lions,lionsc,4,0.01%,others
loliondoparish,kilimarondoparish,4,0.01%,others
loliondosecondary,secondary,4,0.01%,others
longidosecschool,polandsecschool,4,0.01%,others
lutheran,luthe,4,0.01%,others
mavunongo,acordngo,4,0.01%,others
minis,kanis,4,0.01%,others
moravian,morovian,4,0.01%,others
musilimagency,muslims,4,0.01%,others
mwangatownwaterauthority,waterauthority,4,0.01%,others
netherland,natherland,4,0.01%,others
nrwssp,drwssp,4,0.01%,rwssp
nyamongogoldmining,mmggoldmine,4,0.01%,others
oldonyolengai,hongoli,4,0.01%,others
pad,padi,4,0.01%,others
quickwi,quickwin,4,0.01%,others
rccathoric,cathoric,4,0.01%,others
romanca,roman,4,0.01%,others
ruraldrinkingwatersupply,ruralwatersupply,4,0.01%,others
salehzaharani,caltazkahama,4,0.01%,others
simmors,simone,4,0.01%,others
sweden,sweeden,4,0.01%,others
t,,4,0.01%,others
tagchurch,pagchurch,4,0.01%,church
tanesco,unesco,4,0.01%,others
tcrsgovernment,ciprogovernment,4,0.01%,tcrs
tgts,tgrs,4,0.01%,others
totolandcare,totalandcare,4,0.01%,others
unknown,notknown,4,0.01%,others
wizara,kinapa,4,0.01%,others
wvc,vc,4,0.01%,others
acord,abood,3,0.01%,others
anjumaneseifee,jumannesiabo,3,0.01%,others
awf,adf,3,0.01%,others
belgij,engin,3,0.01%,others
bingofoundation,kibarafoundation,3,0.01%,others
bobby,boazi,3,0.01%,others
cheni,chani,3,0.01%,others
ciprocare,africare,3,0.01%,others
colonialgovernment,belgiangovernment,3,0.01%,others
concerngovernm,concerngovern,3,0.01%,others
dadp,adp,3,0.01%,others
danidagovernment,chinagovernment,3,0.01%,others
dbfpe,dbspe,3,0.01%,others
dhinu,dina,3,0.01%,others
diwani,chani,3,0.01%,others
doddea,daida,3,0.01%,others
dwt,dct,3,0.01%,others
engin,belgij,3,0.01%,others
enyueti,enyuati,3,0.01%,others
eu,ea,3,0.01%,others
f,,3,0.01%,others
floresta,bahresa,3,0.01%,others
fpctchurch,agtchurch,3,0.01%,church
gachumaginery,actmara,3,0.01%,others
geitagoldmain,goldmain,3,0.01%,others
ggm,bgm,3,0.01%,others
