funder_uniq,funder_closest,funder_counts,funder_counts_pct,funder_imputed
greinaker,greineker,3,0.01%,others
halmashauriyawilaya,halmashauriwil,3,0.01%,others
hindu,dhinu,3,0.01%,others
hw,dw,3,0.01%,others
hydomluthelani,lutheran,3,0.01%,others
ifakara,aar,3,0.01%,others
ireveasister,ireveasisterwater,3,0.01%,others
italygovernment,irishgovernment,3,0.01%,others
japanaid,japan,3,0.01%,others
japanembassy,usaembassy,3,0.01%,others
kiwandachatangawizi,kiwandachangozi,3,0.01%,others
kmt,act,3,0.01%,others
koicaandtanzaniagovernment,lwicentralgovernment,3,0.01%,others
korea,area,3,0.01%,others
l,,3,0.01%,others
laketanganyika,laketanganyikabasin,3,0.01%,others
lcdg,cdg,3,0.01%,others
lgcbg,lgcdg,3,0.01%,others
lgdcg,lgdbg,3,0.01%,others
lidep,kidep,3,0.01%,others
liuwassa,auwasa,3,0.01%,others
lvemp,rvemp,3,0.01%,others
lwicentralgovernment,chinagovernment,3,0.01%,others
makondewatersupply,holiliwatersupply,3,0.01%,others
malec,males,3,0.01%,others
mchukwihos,chuo,3,0.01%,others
mhkapuya,hapa,3,0.01%,others
mianz,mhan,3,0.01%,others
minjingu,inkinda,3,0.01%,others
miomb,iom,3,0.01%,others
missionary,rcmissionary,3,0.01%,others
mmem,mem,3,0.01%,others
morovian,moravian,3,0.01%,others
mtibwas,mbiuwasa,3,0.01%,others
mtuwasaandcommunity,masekacommunity,3,0.01%,others
mweliaestate,segeraestate,3,0.01%,others
mzeedon,menon,3,0.01%,others
nassorfehed,acord,3,0.01%,others
ndukuvillage,subvillage,3,0.01%,others
ngiresivillagecommunity,olgilaivillagecommunity,3,0.01%,others
oikos,aixos,3,0.01%,others
oldadaivillagecommunity,olgilaivillagecommunity,3,0.01%,others
patuu,latfu,3,0.01%,others
pentecostachurch,pentecostalchurch,3,0.01%,church
pr,br,3,0.01%,others
presadom,area,3,0.01%,others
quickwinproject,quickwinsscheme,3,0.01%,others
quickwinprojectcouncil,quickwinproject,3,0.01%,local_govt
quik,quick,3,0.01%,others
ro,co,3,0.01%,others
rotaryi,rotary,3,0.01%,others
rotte,ruthe,3,0.01%,others
rssp,rwsp,3,0.01%,others
ruralwatersupply,holiliwatersupply,3,0.01%,others
rvemp,lvemp,3,0.01%,others
schoo,school,3,0.01%,others
selousg,caltus,3,0.01%,others
serena,area,3,0.01%,others
serikari,serikali,3,0.01%,others
shanta,chacha,3,0.01%,others
simavi,simav,3,0.01%,others
soliderm,solidarm,3,0.01%,others
sswp,asdp,3,0.01%,others
stantons,panone,3,0.01%,others
sw,dw,3,0.01%,others
tanroad,tanload,3,0.01%,others
tanzegypttechnicalcooper,tanzegypttechnicalcoop,3,0.01%,others
tirdo,tardo,3,0.01%,others
tpp,adp,3,0.01%,others
udcsema,sema,3,0.01%,others
uhoranzi,mhoranzi,3,0.01%,others
ukida,cida,3,0.01%,others
unesco,tanesco,3,0.01%,others
usaembassy,usembassy,3,0.01%,others
usaid,usa,3,0.01%,others
ustawi,esawa,3,0.01%,others
uyoge,biore,3,0.01%,others
vi,ai,3,0.01%,others
vickfis,vicfish,3,0.01%,others
vodacom,dacp,3,0.01%,others
wama,ham,3,0.01%,others
watersectordevelopment,waterdepartment,3,0.01%,others
wfpusaid,usaid,3,0.01%,others
wssp,dwssp,3,0.01%,rwssp
zaowaterspring,zaowaterspringx,3,0.01%,others
abood,abd,2,0.00%,others
acordngo,acord,2,0.00%,others
adpbungu,mbunge,2,0.00%,others
adpw,adp,2,0.00%,others
africa,afric,2,0.00%,others
africa2000networkundp,african2000network,2,0.00%,others
africaaminialama,africanrelie,2,0.00%,others
african2000network,africa2000networkundp,2,0.00%,others
africanbarrickgold,african2000network,2,0.00%,others
africanrealiefcommitteofku,africandevelopmentbank,2,0.00%,others
aicchurch,agtchurch,2,0.00%,church
arabscommunity,arabcommunity,2,0.00%,others
ardhiinstute,dhinu,2,0.00%,others
biofuelcompany,company,2,0.00%,others
bokeraw,bra,2,0.00%,others
breadforthewor,breadoftheworl,2,0.00%,others
britishtanza,artisan,2,0.00%,others
c,,2,0.00%,others
calvaryconnect,camartec,2,0.00%,others
carecipro,careint,2,0.00%,others
cdtfdistrictcouncil,districtcouncil,2,0.00%,local_govt
cgi,cg,2,0.00%,others
chacha,acra,2,0.00%,others
chani,cheni,2,0.00%,others
cip,ccp,2,0.00%,others
cipro,cpro,2,0.00%,others
compa,commu,2,0.00%,others
company,compa,2,0.00%,others
comunediroma,community,2,0.00%,others
cope,ccp,2,0.00%,others
dawasa,auwasa,2,0.00%,others
denat,dina,2,0.00%,others
denish,dadis,2,0.00%,others
dioce,biore,2,0.00%,others
dmmd,dmd,2,0.00%,others
dmo,dmd,2,0.00%,others
domesticwatersupplyproject,districtruralproject,2,0.00%,others
dsp,dasp,2,0.00%,others
dweandveo,dwerudep,2,0.00%,others
egypt,elct,2,0.00%,others
egyptgovernment,belgiangovernment,2,0.00%,others
eno,no,2,0.00%,others
eungammethodistchurch,methodistchurch,2,0.00%,church
fao,bao,2,0.00%,others
fatherw,fathe,2,0.00%,others
foreigne,careint,2,0.00%,others
fptcpent,fpct,2,0.00%,others
friendsofkibarafoundation,kibarafoundation,2,0.00%,others
gamefronti,samsoni,2,0.00%,others
gdid,dadid,2,0.00%,others
gesawa,esawa,2,0.00%,others
globalfund,jimbofund,2,0.00%,others
government,overnment,2,0.00%,others
governmentofmisri,governmentsda,2,0.00%,others
greineker,greinaker,2,0.00%,others
gwitembe,getekwe,2,0.00%,others
halmashauli,halimashauli,2,0.00%,others
halmashauriwil,halmashauri,2,0.00%,others
holand,holland,2,0.00%,others
hpa,hapa,2,0.00%,others
htm,ham,2,0.00%,others
ikeuchitowelsjapan,kkktdiocesyapare,2,0.00%,others
insututional,institutional,2,0.00%,others
investor,incerto,2,0.00%,others
irangover,birage,2,0.00%,others
irc,idc,2,0.00%,others
irishgovernment,isfgovernment,2,0.00%,others
islamicagencytanzania,plantanzania,2,0.00%,others
italy,balo,2,0.00%,others
jimmy,commu,2,0.00%,others
judgemchome,jumanne,2,0.00%,others
juhibu,bumabu,2,0.00%,others
k,,2,0.00%,others
kambimigoko,aimgold,2,0.00%,others
kata,kalta,2,0.00%,others
kdrdpngo,drdpngo,2,0.00%,others
kerebuka,benguka,2,0.00%,others
kfw,fw,2,0.00%,others
kibahaindependentschool,governmentschool,2,0.00%,others
kibo,filo,2,0.00%,others
kibobrewaries,komeparish,2,0.00%,others
kiwandachasamaki,kiwandachangozi,2,0.00%,others
kkktdme,kkkt,2,0.00%,kkkt
kombefoundation,kujifoundation,2,0.00%,others
kwik,ki,2,0.00%,others
kyariga,kajima,2,0.00%,others
laramatak,ilaramataki,2,0.00%,others
lenchtaramai,geochaina,2,0.00%,others
lgaandadb,canada,2,0.00%,others
lisa,sisa,2,0.00%,others
lotaryclub,rotaryclub,2,0.00%,others
lwf,awf,2,0.00%,others
magereza,kagera,2,0.00%,others
makoyemasanzu,magomaadp,2,0.00%,others
makuru,makori,2,0.00%,others
mamamerynagu,muhameidna,2,0.00%,others
maro,aar,2,0.00%,others
mashaka,hasawa,2,0.00%,others
mataro,maro,2,0.00%,others
ministryofhealthy,ministryofwater,2,0.00%,others
missio,missi,2,0.00%,others
mmggoldmine,goldmain,2,0.00%,others
moradi,morad,2,0.00%,others
mp,m,2,0.00%,others
mtc,mac,2,0.00%,others
muhameidna,mhina,2,0.00%,others
mwigicho,swidish,2,0.00%,others
mwitamuremi,mwitamahiti,2,0.00%,others
mwlnyereresecschool,longidosecschool,2,0.00%,others
mzeeomari,mzeesmith,2,0.00%,others
mzung,mzungu,2,0.00%,others
nazarethchurch,nazaletchurch,2,0.00%,church
nchagwa,chacha,2,0.00%,others
nddp,ddp,2,0.00%,others
neemiamission,herimission,2,0.00%,others
niger,cper,2,0.00%,others
nirad,norad,2,0.00%,norad
none,conce,2,0.00%,others
noradtassaf,noradtassafii,2,0.00%,norad
noradtassafii,noradtassaf,2,0.00%,norad
nwssp,dwssp,2,0.00%,rwssp
oda,ola,2,0.00%,others
omaryissa,masista,2,0.00%,others
others,fatherw,2,0.00%,others
ox,o,2,0.00%,others
pentecostalchurch,pentecostachurch,2,0.00%,church
peoplefromjapan,peopleofjapan,2,0.00%,others
peter,peters,2,0.00%,others
qsemltd,snvltd,2,0.00%,others
rafik,af,2,0.00%,others
railway,alia,2,0.00%,others
redap,redep,2,0.00%,others
redeso,redep,2,0.00%,others
regwacompanyofegpty,regwacompanyofegypt,2,0.00%,others
resolute,rotte,2,0.00%,others
rocciross,redcross,2,0.00%,others
romancathoric,romancatholic,2,0.00%,others
rombodalta,abdala,2,0.00%,others
ruped,rudep,2,0.00%,others
ruralwaterdepartment,waterdepartment,2,0.00%,others
rwsspshinyanga,isnashiaand,2,0.00%,rwssp
s,,2,0.00%,others
sawaka,dawasa,2,0.00%,others
schooladm9nstrarion,fredkedconservation,2,0.00%,others
scott,acord,2,0.00%,others
senapa,kinapa,2,0.00%,others
shearmuslim,muslims,2,0.00%,others
singasinga,singsinga,2,0.00%,others
sisterfrancis,siterfransis,2,0.00%,others
snvswash,swash,2,0.00%,others
socie,cip,2,0.00%,others
solarvilla,maxavella,2,0.00%,others
sua,sda,2,0.00%,others
svn,vn,2,0.00%,others
swash,iwash,2,0.00%,others
swidish,swedish,2,0.00%,others
tadepa,padep,2,0.00%,others
tagpatmos,taipo,2,0.00%,others
tasafandlga,tasafandmmem,2,0.00%,tasaf
tasef,tasaf,2,0.00%,tasaf
tempo,taipo,2,0.00%,others
tendegreehotel,judgemchome,2,0.00%,others
theislamic,islamic,2,0.00%,others
tlcjohnmajala,chamavita,2,0.00%,others
tom,dom,2,0.00%,others
totoland,holand,2,0.00%,others
unicefcspd,unicecspd,2,0.00%,united_nations
unwfp,undp,2,0.00%,others
uvimaki,rumaki,2,0.00%,others
vicfish,vickfis,2,0.00%,others
vicfishltd,vicfish,2,0.00%,others
vifaf,vifafi,2,0.00%,others
vififi,vifafi,2,0.00%,others
villaers,villagers,2,0.00%,others
villagefund,village,2,0.00%,others
villageoffice,villagefund,2,0.00%,others
wajerumani,wamarekani,2,0.00%,others
wbdistrictcouncil,districtcouncil,2,0.00%,local_govt
wsdpsdg,wsdp,2,0.00%,others
wspd,cspd,2,0.00%,others
wuaandded,wugandded,2,0.00%,others
zaben,tabea,2,0.00%,others
abaska,abasia,1,0.00%,others
abcihushidevelopmentcent,africandevelopmentbank,1,0.00%,others
abdala,abdul,1,0.00%,others
abddwe,abd,1,0.00%,others
abdul,abd,1,0.00%,others
abs,abd,1,0.00%,others
act,aict,1,0.00%,others
actionina,actionaid,1,0.00%,others
actmara,acra,1,0.00%,others
afdp,adp,1,0.00%,others
afric,africa,1,0.00%,others
africanreflectionsfoundation,africandevelopmentfoundation,1,0.00%,others
africaoneltd,africanrelie,1,0.00%,others
africaprojectevgermany,acogermany,1,0.00%,others
afriicanreli,africanrelie,1,0.00%,others
afrozismail,africa,1,0.00%,others
afyadepartmentlindirural,waterdepartment,1,0.00%,others
agapechurc,agtchurch,1,0.00%,church
agtchurch,aicchurch,1,0.00%,church
ahmadia,abasia,1,0.00%,others
aickij,aic,1,0.00%,others
aixos,oikos,1,0.00%,others
alia,acra,1,0.00%,others
ambwenemwaikek,kibobrewaries,1,0.00%,others
amrefe,amref,1,0.00%,others
answeermuslimgrou,shearmuslim,1,0.00%,others
apm,aar,1,0.00%,others
apmafricapreciousmetalslt,africanrelie,1,0.00%,others
aquabluesangels,paulosange,1,0.00%,others
arabcommunity,arabscommunity,1,0.00%,others
arabi,msabi,1,0.00%,others
area,acra,1,0.00%,others
artisan,african,1,0.00%,others
asgeralinbharwan,angrikana,1,0.00%,others
babtest,babtist,1,0.00%,others
babtist,babtest,1,0.00%,others
bahresa,area,1,0.00%,others
bakarichimkube,makapuchini,1,0.00%,others
bakwata,auwasa,1,0.00%,others
ballo,balo,1,0.00%,others
balyehe,salehe,1,0.00%,others
bancareale,caredwe,1,0.00%,others
bao,balo,1,0.00%,others
bap,bao,1,0.00%,others
bathlomewvicent,cathoric,1,0.00%,others
batistchurch,baptistchurch,1,0.00%,church
bfwd,bffs,1,0.00%,others
bgss,baas,1,0.00%,others
bgssws,bgss,1,0.00%,others
bhws,bkhws,1,0.00%,others
bingofoundationgermany,bingofoundation,1,0.00%,others
birage,biore,1,0.00%,others
bkhws,bhws,1,0.00%,others
boazi,boazio,1,0.00%,others
boazio,boazi,1,0.00%,others
bomasaving,marafin,1,0.00%,others
bongkugohhchoonlzalee,longidosecschool,1,0.00%,others
bonitebottlesltd,africaoneltd,1,0.00%,others
bra,br,1,0.00%,others
brad,bra,1,0.00%,others
breadoftheworl,breadforthewor,1,0.00%,others
brown,bao,1,0.00%,others
bukumbi,bumabu,1,0.00%,others
bukwangchurchsaint,bukwangchurchsaints,1,0.00%,church
bukwangchurchsaints,bukwangchurchsaint,1,0.00%,church
bulugasubvillagecommunity,okutuvillagecommunity,1,0.00%,others
bumabu,juhibu,1,0.00%,others
buptist,babtist,1,0.00%,others
busogatrust,buptist,1,0.00%,others
caltastanzania,cartastanzania,1,0.00%,others
caltazkahama,caltastanzania,1,0.00%,others
camartec,carmatech,1,0.00%,others
canadaaid,canada,1,0.00%,others
caredwe,abddwe,1,0.00%,others
careint,caredwe,1,0.00%,others
carmatech,camartec,1,0.00%,others
cathoric,rccathoric,1,0.00%,others
ccmotorday2010,acogermany,1,0.00%,others
ccp,ccpk,1,0.00%,others
ccpk,ccp,1,0.00%,others
ccps,ccp,1,0.00%,others
cdft,tdft,1,0.00%,others
cefarcchurch,aicchurch,1,0.00%,church
cgc,cg,1,0.00%,others
cgrc,cgc,1,0.00%,others
ch,c,1,0.00%,others
chachaissame,chacha,1,0.00%,others
chaiwazir,chacha,1,0.00%,others
chamachaushirika,halmashauri,1,0.00%,others
charlottewell,caredwe,1,0.00%,others
chmavita,camavita,1,0.00%,others
chongolo,hongoli,1,0.00%,others
christanoutrich,christianoutrich,1,0.00%,others
chuo,ch,1,0.00%,others
churchofdisciples,chachaissame,1,0.00%,church
cida,fida,1,0.00%,others
cocu,ccp,1,0.00%,others
college,ecolodge,1,0.00%,others
communitybank,community,1,0.00%,others
compasioninternational,careinternational,1,0.00%,others
comunityconstructionfund,friedkinconservationfund,1,0.00%,others
costantineherman,justinemarwa,1,0.00%,others
cpar,cper,1,0.00%,others
cper,cpar,1,0.00%,others
cppsmission,herimission,1,0.00%,others
craelius,caltus,1,0.00%,others
cristanoutrich,christanoutrich,1,0.00%,others
crs,tcrs,1,0.00%,tcrs
csf,bsf,1,0.00%,others
cvsmiss,cmsr,1,0.00%,others
dacp,dadp,1,0.00%,others
dadid,dadis,1,0.00%,others
daeyeolandchaelynn,rafaelmichael,1,0.00%,others
dagida,daida,1,0.00%,others
daida,dagida,1,0.00%,others
daldo,ballo,1,0.00%,others
daressalaamroundtable,kanisalamenonite,1,0.00%,others
dasiip,dasip,1,0.00%,others
daspltd,dasp,1,0.00%,others
daunoperaiosiciliano,europeanunion,1,0.00%,others
dbsp,dasp,1,0.00%,others
ddca,adra,1,0.00%,others
dedkilo,undpilo,1,0.00%,others
dedrwsp,dedrwssp,1,0.00%,rwssp
dedrwssp,dedrwsp,1,0.00%,rwssp
deogratiuskasima,lualikaima,1,0.00%,others
dgv,dhv,1,0.00%,dhv
dhvswis,bgssws,1,0.00%,dhv
dimon,dmo,1,0.00%,others
dina,cida,1,0.00%,others
dioceseofmountkilimanjaro,lionsclubkilimanjaro,1,0.00%,others
districtmedical,districtcouncil,1,0.00%,others
districtruralproject,mileniamproject,1,0.00%,others
dmd,ded,1,0.00%,others
dmddsolider,soliderm,1,0.00%,others
dmkanglican,african,1,0.00%,others
doctormwambi,actmara,1,0.00%,others
doktamwandulam,hassangulam,1,0.00%,others
dom,do,1,0.00%,others
domesticruraldevelopmentpr,domesticruraldevelopmentpro,1,0.00%,others
dominikisimwen,gamedivision,1,0.00%,others
donerandcom,donerandded,1,0.00%,others
donerandded,donerandcom,1,0.00%,others
dqnida,danida,1,0.00%,danida
drdp,brdp,1,0.00%,others
drvnaidara,daida,1,0.00%,others
drwssp,dwssp,1,0.00%,rwssp
dsdp,asdp,1,0.00%,others
duka,luka,1,0.00%,others
dv,d,1,0.00%,others
dwarf,aar,1,0.00%,others
dweanglicanchurch,anglicanchurch,1,0.00%,church
dwerudep,rudep,1,0.00%,others
dweubaloziwamarekani,ubaloziwamarekani,1,0.00%,others
dwsdp,dsdp,1,0.00%,dwsp
dwst,dwsp,1,0.00%,dwsp
eastmerumediumschool,princemediumschool,1,0.00%,others
eater,water,1,0.00%,others
ecolodge,college,1,0.00%,others
educationfunds,tumainifund,1,0.00%,others
egypttechnicalcooperation,tanzegypttechnicalcooper,1,0.00%,others
elca,elct,1,0.00%,others
embasyofjapanintanzania,islamicagencytanzania,1,0.00%,others
engineerswithoutborder,insititutiona,1,0.00%,others
enyuati,enyueti,1,0.00%,others
ermua,area,1,0.00%,others
errekappa,redap,1,0.00%,others
esawa,gesawa,1,0.00%,others
esterndege,dwerudep,1,0.00%,others
fabia,alia,1,0.00%,others
fdc,idc,1,0.00%,others
fida,cida,1,0.00%,others
fiwater,finwater,1,0.00%,others
folac,ola,1,0.00%,others
fosecu,cocu,1,0.00%,others
fpctmulala,actmara,1,0.00%,others
frankfurt,franc,1,0.00%,others
fredkedconservation,friedkinconservationfund,1,0.00%,others
freshwaterplcengland,netherland,1,0.00%,others
friedkinconservationfund,fredkedconservation,1,0.00%,others
friendfromun,redcross,1,0.00%,others
friendsofulamboandmwanhala,friendsofkibarafoundation,1,0.00%,others
fullgospelchurch,agapechurc,1,0.00%,church
gamedivision,worldvision,1,0.00%,others
gdp,adp,1,0.00%,others
geraldtusekogro,karadeango,1,0.00%,others
germanmissionary,germanymissionary,1,0.00%,others
germanycristians,germanymisionary,1,0.00%,others
germanymissionary,germanmissionary,1,0.00%,others
getdsc00,gesawa,1,0.00%,others
getekwe,mtewe,1,0.00%,others
gg,cg,1,0.00%,others
gilcafechurch,aicchurch,1,0.00%,church
giovandisinistrapersalve,makanyasisalestate,1,0.00%,others
godii,gdid,1,0.00%,others
goldmain,gain,1,0.00%,others
goldwillfoundation,kombefoundation,1,0.00%,others
governmentandcommunity,governmentcommunity,1,0.00%,others
governmentschool,governmentsda,1,0.00%,others
governmentsda,government,1,0.00%,others
governmenttcrs,government,1,0.00%,tcrs
governmentworldvision,governmentworldbank,1,0.00%,worldvision
grailmissionkisekibar,germanmissionary,1,0.00%,others
granahalmashauri,halmashauri,1,0.00%,others
graziefrancolucchini,lutheranchurch,1,0.00%,others
graziegrouppopadrefiorentin,graziefrancolucchini,1,0.00%,others
gurdians,germany,1,0.00%,others
h4ccp,ccp,1,0.00%,others
haam,ham,1,0.00%,others
haidomulutheranchurch,lutheranchurch,1,0.00%,church
halimashau,halimashauli,1,0.00%,others
halimashauli,halmashauli,1,0.00%,others
hamref,amref,1,0.00%,others
handenitrunkmaini,handenitrunkmain,1,0.00%,others
hapasingida,japanaid,1,0.00%,others
harunampog,sunamco,1,0.00%,others
hasawa,hesawa,1,0.00%,hesawa
hashi,rashid,1,0.00%,others
hasnanmurigmbunge,hasneinmuijmbunge,1,0.00%,others
hasneinmuijmbunge,hasnanmurigmbunge,1,0.00%,others
hasneinmurij,halmashauri,1,0.00%,others
hassangulam,hapasingida,1,0.00%,others
haydomlutheranhospital,hydomluthelani,1,0.00%,others
hdv,dv,1,0.00%,others
healthministry,arabcommunity,1,0.00%,others
heartshelpinghandsinc,nerthlands,1,0.00%,others
henuredema,bened,1,0.00%,others
herimission,rcmission,1,0.00%,others
hery,he,1,0.00%,others
hesawaandconcernworldwide,concernworldwide,1,0.00%,hesawa
hesawwa,hesawa,1,0.00%,hesawa
hesawza,hesawa,1,0.00%,hesawa
hesswa,hesawa,1,0.00%,hesawa
hewawa,hesawa,1,0.00%,hesawa
hez,he,1,0.00%,hesawa
hhesawa,hesawa,1,0.00%,hesawa
hilfefurbrunder,bruder,1,0.00%,others
holiliwatersupply,losakiawatersupply,1,0.00%,others
hongoli,chongolo,1,0.00%,others
hotelsandlodgetanzania,hotelsandloggstzltd,1,0.00%,others
hotelsandloggstzltd,hotelsandlodgetanzania,1,0.00%,others
huches,luthe,1,0.00%,others
iado,nado,1,0.00%,others
icap,icdp,1,0.00%,others
icdp,icap,1,0.00%,others
icf,ics,1,0.00%,others
idf,adf,1,0.00%,others
if,af,1,0.00%,others
igololacommunity,ilwilocommunity,1,0.00%,others
ilaramataki,laramatak,1,0.00%,others
iloundp,undp,1,0.00%,others
ilwilocommunity,igololacommunity,1,0.00%,others
incerto,investor,1,0.00%,others
inkinda,kinga,1,0.00%,others
inmemoriadialbeto,leopadabeid,1,0.00%,others
insititutiona,institution,1,0.00%,others
internaldrainagebasin,laketanganyikabasin,1,0.00%,others
internationalaidservices,careinternational,1,0.00%,others
iom,dom,1,0.00%,others
ireveasisterwater,ireveasister,1,0.00%,others
isfgvt,isf,1,0.00%,others
isftasaff,isftacare,1,0.00%,others
islamiccommunity,ilwilocommunity,1,0.00%,others
islamicsociety,muslimsociety,1,0.00%,others
isnashiaand,masailand,1,0.00%,others
issamohameditumwanga,islamicagencytanzania,1,0.00%,others
italian,alia,1,0.00%,others
iucn,icf,1,0.00%,others
jacobin,acord,1,0.00%,others
jafarymbaga,japanembassy,1,0.00%,others
jamal,japan,1,0.00%,others
jamalabdallah,mmanyaabdallah,1,0.00%,others
japanfoodaid,japanfood,1,0.00%,others
japanfoodaidcounterpart,japanfoodaid,1,0.00%,others
japangovernment,ciprogovernment,1,0.00%,others
jeshilawokovucida,jeshilawokovu,1,0.00%,others
jipa,jica,1,0.00%,others
johnfund,jimbofund,1,0.00%,others
johngileth,johnskwese,1,0.00%,others
johnskwese,johngileth,1,0.00%,others
ju,eu,1,0.00%,others
juma,jumaa,1,0.00%,others
jumaa,juma,1,0.00%,others
jumanne,juma,1,0.00%,others
jumannesiabo,jumanne,1,0.00%,others
jusarangchurchandbugango,bukwangchurchsaint,1,0.00%,church
justinemarwa,actmara,1,0.00%,others
jwtz,dwt,1,0.00%,others
kaaya,kalta,1,0.00%,others
kadip,kadp,1,0.00%,others
kagera,kahema,1,0.00%,others
kageramine,kagera,1,0.00%,others
kagungulisecondary,zingibalisecondary,1,0.00%,others
kahema,kaemp,1,0.00%,others
kajima,kahema,1,0.00%,others
kalebejoparish,komeparish,1,0.00%,others
kalitesi,kalitasi,1,0.00%,others
kamama,kaaya,1,0.00%,others
kamataproject,camartec,1,0.00%,others
kanamama,kamama,1,0.00%,others
kando,daldo,1,0.00%,others
kanis,kanisa,1,0.00%,others
kanisalamitume,kanisalaneema,1,0.00%,others
kanisalaneema,kanisalamitume,1,0.00%,others
kanisalatag,kanamama,1,0.00%,others
kanisani,kanisa,1,0.00%,others
kapelo,ballo,1,0.00%,others
karadeango,kadresngo,1,0.00%,others
kassim,dassip,1,0.00%,others
kauzeni,cheni,1,0.00%,others
kayempultd,daspltd,1,0.00%,others
kc,c,1,0.00%,others
kcu,kc,1,0.00%,others
kdc,fdc,1,0.00%,others
kdpa,adp,1,0.00%,others
kegocha,chacha,1,0.00%,others
kenyanscompany,oldnyikacompany,1,0.00%,others
kibarafoundation,bingofoundation,1,0.00%,others
kidika,bilila,1,0.00%,others
kigomamunicipalcouncil,taboramunicipalcouncil,1,0.00%,local_govt
kigwa,kinga,1,0.00%,others
kijij,kijiji,1,0.00%,others
kikom,iom,1,0.00%,others
kikundichaakinamama,kiwandachasamaki,1,0.00%,others
kilimarondoparish,loliondoparish,1,0.00%,others
kilimo,bilila,1,0.00%,others
kilol,filo,1,0.00%,others
kindorokowaterproject,rilayowaterproject,1,0.00%,others
kinga,dina,1,0.00%,others
kipopotry,kilomber,1,0.00%,others
kitiangarevillagecommunity,ngiresivillagecommunity,1,0.00%,others
kiwandachangozi,kiwandachasamaki,1,0.00%,others
kizegojumaa,jumaa,1,0.00%,others
kizenga,kinga,1,0.00%,others
kkktcanal,kkktmakwale,1,0.00%,kkkt
kkktleguruki,kkktchurch,1,0.00%,kkkt
kkktmareu,kkktcanal,1,0.00%,kkkt
kkktndrumangeni,kiwandachangozi,1,0.00%,kkkt
kkktusa,kkkt,1,0.00%,kkkt
koico,koica,1,0.00%,others
kokornel,konoike,1,0.00%,others
kolopin,goldmain,1,0.00%,others
komeparish,msdanish,1,0.00%,others
kondela,doddea,1,0.00%,others
kondoprimary,kingupiras,1,0.00%,others
kopwekhalifa,komeparish,1,0.00%,others
ku,eu,1,0.00%,others
kujifoundation,kombefoundation,1,0.00%,others
kurrp,krp,1,0.00%,others
kurrpki,kurrp,1,0.00%,others
kwaditrikicho,mwigicho,1,0.00%,others
kwamakala,kamama,1,0.00%,others
kwamduluestate,mweliaestate,1,0.00%,others
